Format Version,1.23,Take Name,John_Intro_01,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,60.000000,Capture Start Time,2025-04-30 07.24.37.876 ,Capture Start Frame,137956,Total Frames in Take,1685,Total Exported Frames,843,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type
317,5.283333
318,5.300000
319,5.316667
320,5.333333
321,5.350000
322,5.366667
323,5.383333
324,5.400000
325,5.416667
326,5.433333
327,5.450000
328,5.466667
329,5.483333
330,5.500000
331,5.516667
332,5.533333
333,5.550000
334,5.566667
335,5.583333
336,5.600000
337,5.616667
338,5.633333
339,5.650000
340,5.666667
341,5.683333
342,5.700000
343,5.716667
344,5.733333
345,5.750000
346,5.766667
347,5.783333
348,5.800000
349,5.816667
350,5.833333
351,5.850000
352,5.866667
353,5.883333
354,5.900000
355,5.916667
356,5.933333
357,5.950000
358,5.966667
359,5.983333
360,6.000000
361,6.016667
362,6.033333
363,6.050000
364,6.066667
365,6.083333
366,6.100000
367,6.116667
368,6.133333
369,6.150000
370,6.166667
371,6.183333
372,6.200000
373,6.216667
374,6.233333
375,6.250000
376,6.266667
377,6.283333
378,6.300000
379,6.316667
380,6.333333
381,6.350000
382,6.366667
383,6.383333
384,6.400000
385,6.416667
386,6.433333
387,6.450000
388,6.466667
389,6.483333
390,6.500000
391,6.516667
392,6.533333
393,6.550000
394,6.566667
395,6.583333
396,6.600000
397,6.616667
398,6.633333
399,6.650000
400,6.666667
401,6.683333
402,6.700000
403,6.716667
404,6.733333
405,6.750000
406,6.766667
407,6.783333
408,6.800000
409,6.816667
410,6.833333
411,6.850000
412,6.866667
413,6.883333
414,6.900000
415,6.916667
416,6.933333
417,6.950000
418,6.966667
419,6.983333
420,7.000000
421,7.016667
422,7.033333
423,7.050000
424,7.066667
425,7.083333
426,7.100000
427,7.116667
428,7.133333
429,7.150000
430,7.166667
431,7.183333
432,7.200000
433,7.216667
434,7.233333
435,7.250000
436,7.266667
437,7.283333
438,7.300000
439,7.316667
440,7.333333
441,7.350000
442,7.366667
443,7.383333
444,7.400000
445,7.416667
446,7.433333
447,7.450000
448,7.466667
449,7.483333
450,7.500000
451,7.516667
452,7.533333
453,7.550000
454,7.566667
455,7.583333
456,7.600000
457,7.616667
458,7.633333
459,7.650000
460,7.666667
461,7.683333
462,7.700000
463,7.716667
464,7.733333
465,7.750000
466,7.766667
467,7.783333
468,7.800000
469,7.816667
470,7.833333
471,7.850000
472,7.866667
473,7.883333
474,7.900000
475,7.916667
476,7.933333
477,7.950000
478,7.966667
479,7.983333
480,8.000000
481,8.016667
482,8.033333
483,8.050000
484,8.066667
485,8.083333
486,8.100000
487,8.116667
488,8.133333
489,8.150000
490,8.166667
491,8.183333
492,8.200000
493,8.216667
494,8.233333
495,8.250000
496,8.266667
497,8.283333
498,8.300000
499,8.316667
500,8.333333
501,8.350000
502,8.366667
503,8.383333
504,8.400000
505,8.416667
506,8.433333
507,8.450000
508,8.466667
509,8.483333
510,8.500000
511,8.516667
512,8.533333
513,8.550000
514,8.566667
515,8.583333
516,8.600000
517,8.616667
518,8.633333
519,8.650000
520,8.666667
521,8.683333
522,8.700000
523,8.716667
524,8.733333
525,8.750000
526,8.766667
527,8.783333
528,8.800000
529,8.816667
530,8.833333
531,8.850000
532,8.866667
533,8.883333
534,8.900000
535,8.916667
536,8.933333
537,8.950000
538,8.966667
539,8.983333
540,9.000000
541,9.016667
542,9.033333
543,9.050000
544,9.066667
545,9.083333
546,9.100000
547,9.116667
548,9.133333
549,9.150000
550,9.166667
551,9.183333
552,9.200000
553,9.216667
554,9.233333
555,9.250000
556,9.266667
557,9.283333
558,9.300000
559,9.316667
560,9.333333
561,9.350000
562,9.366667
563,9.383333
564,9.400000
565,9.416667
566,9.433333
567,9.450000
568,9.466667
569,9.483333
570,9.500000
571,9.516667
572,9.533333
573,9.550000
574,9.566667
575,9.583333
576,9.600000
577,9.616667
578,9.633333
579,9.650000
580,9.666667
581,9.683333
582,9.700000
583,9.716667
584,9.733333
585,9.750000
586,9.766667
587,9.783333
588,9.800000
589,9.816667
590,9.833333
591,9.850000
592,9.866667
593,9.883333
594,9.900000
595,9.916667
596,9.933333
597,9.950000
598,9.966667
599,9.983333
600,10.000000
601,10.016667
602,10.033333
603,10.050000
604,10.066667
605,10.083333
606,10.100000
607,10.116667
608,10.133333
609,10.150000
610,10.166667
611,10.183333
612,10.200000
613,10.216667
614,10.233333
615,10.250000
616,10.266667
617,10.283333
618,10.300000
619,10.316667
620,10.333333
621,10.350000
622,10.366667
623,10.383333
624,10.400000
625,10.416667
626,10.433333
627,10.450000
628,10.466667
629,10.483333
630,10.500000
631,10.516667
632,10.533333
633,10.550000
634,10.566667
635,10.583333
636,10.600000
637,10.616667
638,10.633333
639,10.650000
640,10.666667
641,10.683333
642,10.700000
643,10.716667
644,10.733333
645,10.750000
646,10.766667
647,10.783333
648,10.800000
649,10.816667
650,10.833333
651,10.850000
652,10.866667
653,10.883333
654,10.900000
655,10.916667
656,10.933333
657,10.950000
658,10.966667
659,10.983333
660,11.000000
661,11.016667
662,11.033333
663,11.050000
664,11.066667
665,11.083333
666,11.100000
667,11.116667
668,11.133333
669,11.150000
670,11.166667
671,11.183333
672,11.200000
673,11.216667
674,11.233333
675,11.250000
676,11.266667
677,11.283333
678,11.300000
679,11.316667
680,11.333333
681,11.350000
682,11.366667
683,11.383333
684,11.400000
685,11.416667
686,11.433333
687,11.450000
688,11.466667
689,11.483333
690,11.500000
691,11.516667
692,11.533333
693,11.550000
694,11.566667
695,11.583333
696,11.600000
697,11.616667
698,11.633333
699,11.650000
700,11.666667
701,11.683333
702,11.700000
703,11.716667
704,11.733333
705,11.750000
706,11.766667
707,11.783333
708,11.800000
709,11.816667
710,11.833333
711,11.850000
712,11.866667
713,11.883333
714,11.900000
715,11.916667
716,11.933333
717,11.950000
718,11.966667
719,11.983333
720,12.000000
721,12.016667
722,12.033333
723,12.050000
724,12.066667
725,12.083333
726,12.100000
727,12.116667
728,12.133333
729,12.150000
730,12.166667
731,12.183333
732,12.200000
733,12.216667
734,12.233333
735,12.250000
736,12.266667
737,12.283333
738,12.300000
739,12.316667
740,12.333333
741,12.350000
742,12.366667
743,12.383333
744,12.400000
745,12.416667
746,12.433333
747,12.450000
748,12.466667
749,12.483333
750,12.500000
751,12.516667
752,12.533333
753,12.550000
754,12.566667
755,12.583333
756,12.600000
757,12.616667
758,12.633333
759,12.650000
760,12.666667
761,12.683333
762,12.700000
763,12.716667
764,12.733333
765,12.750000
766,12.766667
767,12.783333
768,12.800000
769,12.816667
770,12.833333
771,12.850000
772,12.866667
773,12.883333
774,12.900000
775,12.916667
776,12.933333
777,12.950000
778,12.966667
779,12.983333
780,13.000000
781,13.016667
782,13.033333
783,13.050000
784,13.066667
785,13.083333
786,13.100000
787,13.116667
788,13.133333
789,13.150000
790,13.166667
791,13.183333
792,13.200000
793,13.216667
794,13.233333
795,13.250000
796,13.266667
797,13.283333
798,13.300000
799,13.316667
800,13.333333
801,13.350000
802,13.366667
803,13.383333
804,13.400000
805,13.416667
806,13.433333
807,13.450000
808,13.466667
809,13.483333
810,13.500000
811,13.516667
812,13.533333
813,13.550000
814,13.566667
815,13.583333
816,13.600000
817,13.616667
818,13.633333
819,13.650000
820,13.666667
821,13.683333
822,13.700000
823,13.716667
824,13.733333
825,13.750000
826,13.766667
827,13.783333
828,13.800000
829,13.816667
830,13.833333
831,13.850000
832,13.866667
833,13.883333
834,13.900000
835,13.916667
836,13.933333
837,13.950000
838,13.966667
839,13.983333
840,14.000000
841,14.016667
842,14.033333
