Format Version,1.23,Take Name,John_Can_01,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,60.000000,Capture Start Time,2025-04-30 06.52.12.295 ,Capture Start Frame,3534254,Total Frames in Take,950,Total Exported Frames,476,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type
317,5.283333
318,5.300000
319,5.316667
320,5.333333
321,5.350000
322,5.366667
323,5.383333
324,5.400000
325,5.416667
326,5.433333
327,5.450000
328,5.466667
329,5.483333
330,5.500000
331,5.516667
332,5.533333
333,5.550000
334,5.566667
335,5.583333
336,5.600000
337,5.616667
338,5.633333
339,5.650000
340,5.666667
341,5.683333
342,5.700000
343,5.716667
344,5.733333
345,5.750000
346,5.766667
347,5.783333
348,5.800000
349,5.816667
350,5.833333
351,5.850000
352,5.866667
353,5.883333
354,5.900000
355,5.916667
356,5.933333
357,5.950000
358,5.966667
359,5.983333
360,6.000000
361,6.016667
362,6.033333
363,6.050000
364,6.066667
365,6.083333
366,6.100000
367,6.116667
368,6.133333
369,6.150000
370,6.166667
371,6.183333
372,6.200000
373,6.216667
374,6.233333
375,6.250000
376,6.266667
377,6.283333
378,6.300000
379,6.316667
380,6.333333
381,6.350000
382,6.366667
383,6.383333
384,6.400000
385,6.416667
386,6.433333
387,6.450000
388,6.466667
389,6.483333
390,6.500000
391,6.516667
392,6.533333
393,6.550000
394,6.566667
395,6.583333
396,6.600000
397,6.616667
398,6.633333
399,6.650000
400,6.666667
401,6.683333
402,6.700000
403,6.716667
404,6.733333
405,6.750000
406,6.766667
407,6.783333
408,6.800000
409,6.816667
410,6.833333
411,6.850000
412,6.866667
413,6.883333
414,6.900000
415,6.916667
416,6.933333
417,6.950000
418,6.966667
419,6.983333
420,7.000000
421,7.016667
422,7.033333
423,7.050000
424,7.066667
425,7.083333
426,7.100000
427,7.116667
428,7.133333
429,7.150000
430,7.166667
431,7.183333
432,7.200000
433,7.216667
434,7.233333
435,7.250000
436,7.266667
437,7.283333
438,7.300000
439,7.316667
440,7.333333
441,7.350000
442,7.366667
443,7.383333
444,7.400000
445,7.416667
446,7.433333
447,7.450000
448,7.466667
449,7.483333
450,7.500000
451,7.516667
452,7.533333
453,7.550000
454,7.566667
455,7.583333
456,7.600000
457,7.616667
458,7.633333
459,7.650000
460,7.666667
461,7.683333
462,7.700000
463,7.716667
464,7.733333
465,7.750000
466,7.766667
467,7.783333
468,7.800000
469,7.816667
470,7.833333
471,7.850000
472,7.866667
473,7.883333
474,7.900000
475,7.916667
